Kind,Name,Cyclomatic,RatioCommentToCode,MaxInheritanceTree,CountDeclInstanceMethod,CountDeclMethod,CountClassCoupled,PercentLackOfCohesion,CountDeclClass,CountDeclFile,CountLineCode
File,"AgentAttacher.java",,0.67,,0,3,,,1,,30
File,"AgentPluginFeatures.java",,2.22,,1,1,,,1,,9
File,"AgentReloader.java",,0.89,,1,3,,,1,,28
File,"AgentTasksEnhancer.java",,0.37,,6,6,,,1,,82
File,"AggregateMetricReader.java",,0.49,,8,8,,,1,,95
File,"AggregateMetricReaderTests.java",,0.27,,10,10,,,1,,75
File,"AggregateMetricsConfiguration.java",,0.43,,4,4,,,1,,35
File,"AllNestedConditions.java",,1.46,,3,3,,,1,,24
File,"AllNestedConditionsTests.java",,0.25,,8,8,,,7,,72
File,"AnnotatedClassWithMainMethod.java",,2.00,,1,2,,,1,,10
File,"AnnotatedNodeASTTransformation.java",,0.24,,8,8,,,2,,93
File,"AnnotationConfigEmbeddedWebApplicationContext.java",,1.32,,10,10,,,1,,74
File,"AnnotationConfigEmbeddedWebApplicationContextTests.java",,0.14,,18,18,,,6,,152
File,"AnnotationCustomizableTypeExcludeFilter.java",,0.19,,15,15,,,2,,114
File,"AnnotationsPropertySource.java",,0.14,,18,18,,,1,,168
File,"AnnotationsPropertySourceTests.java",,0.07,,40,40,,,33,,294
File,"AnotherExampleRestClient.java",,1.24,,3,3,,,1,,17
File,"AnsiBackground.java",,0.79,,4,4,,,1,,28
File,"AnsiColor.java",,0.79,,4,4,,,1,,28
File,"AnsiColors.java",,0.31,,7,9,,,2,,90
File,"AnsiColorsTests.java",,0.43,,3,3,,,1,,47
File,"AnsiElement.java",,4.60,,1,1,,,1,,5
File,"AnsiOutput.java",,0.54,,2,11,,,2,,102
File,"AnsiOutputApplicationListener.java",,0.93,,2,2,,,1,,27
File,"AnsiOutputApplicationListenerTests.java",,0.31,,5,5,,,2,,64
File,"AnsiOutputEnabledValue.java",,2.22,,1,2,,,1,,9
File,"AnsiOutputTests.java",,0.91,,1,3,,,1,,22
File,"AnsiPropertySource.java",,0.54,,5,5,,,2,,61
File,"AnsiPropertySourceTests.java",,0.43,,8,8,,,1,,47
File,"AnsiString.java",,0.79,,5,5,,,1,,39
File,"AnsiStyle.java",,1.31,,4,4,,,1,,16
File,"AnyNestedCondition.java",,1.46,,2,2,,,1,,24
File,"AnyNestedConditionTests.java",,0.29,,8,8,,,7,,73
File,"AopAutoConfiguration.java",,1.32,,0,0,,,3,,22
File,"AopAutoConfigurationTests.java",,0.19,,15,15,,,6,,108
File,"Application.java",,0.71,,0,1,,,1,,21
File,"Application.java",,0.71,,0,1,,,1,,21
File,"ApplicationArguments.java",,5.50,,5,5,,,1,,10
File,"ApplicationContextHeaderFilter.java",,1.18,,2,2,,,1,,22
File,"ApplicationContextTestUtils.java",,1.92,,0,1,,,1,,13
File,"ApplicationContextTestUtilsTests.java",,0.65,,3,3,,,1,,31
File,"ApplicationEnvironmentPreparedEvent.java",,1.94,,2,2,,,1,,16
File,"ApplicationFailedEvent.java",,1.80,,3,3,,,1,,20
File,"ApplicationHealthIndicator.java",,3.14,,1,1,,,1,,7
File,"ApplicationHealthIndicatorTests.java",,2.00,,1,1,,,1,,10
File,"ApplicationHome.java",,0.32,,13,13,,,1,,122
File,"ApplicationLauncher.java",,5.00,,1,1,,,1,,4
File,"ApplicationPid.java",,0.43,,8,8,,,1,,60
File,"ApplicationPidFileWriter.java",,0.45,,16,17,,,4,,152
File,"ApplicationPidFileWriterTests.java",,0.14,,15,15,,,1,,161
File,"ApplicationPidTests.java",,0.48,,5,5,,,1,,42
File,"ApplicationPreparedEvent.java",,1.88,,2,2,,,1,,17
File,"ApplicationReadyEvent.java",,2.33,,2,2,,,1,,15
File,"ApplicationRunner.java",,5.00,,1,1,,,1,,6
File,"ApplicationStartedEvent.java",,2.50,,1,1,,,1,,12
File,"ApplicationStartingEvent.java",,2.82,,1,1,,,1,,11
File,"ApplicationTemp.java",,0.47,,10,10,,,1,,83
File,"ApplicationTempTests.java",,0.65,,3,3,,,1,,31
File,"Archive.java",,2.95,,6,6,,,3,,19
File,"ArchiveCommand.java",,0.13,,25,25,,,4,,265
File,"ArtemisAutoConfiguration.java",,1.08,,0,0,,,1,,24
File,"ArtemisAutoConfigurationTests.java",,0.09,,31,31,,,9,,342
File,"ArtemisConfigurationCustomizer.java",,4.83,,1,1,,,1,,6
File,"ArtemisConnectionFactoryConfiguration.java",,1.24,,1,1,,,1,,17
File,"ArtemisConnectionFactoryFactory.java",,0.28,,7,7,,,1,,100
File,"ArtemisEmbeddedConfigurationFactory.java",,0.47,,3,3,,,1,,47
File,"ArtemisEmbeddedConfigurationFactoryTests.java",,0.55,,4,4,,,1,,40
File,"ArtemisEmbeddedServerConfiguration.java",,0.23,,8,8,,,1,,95
File,"ArtemisMode.java",,5.60,,2,2,,,1,,5
File,"ArtemisNoOpBindingRegistry.java",,1.22,,4,4,,,1,,18
File,"ArtemisProperties.java",,0.60,,27,27,,,2,,111
File,"ArtemisXAConnectionFactoryConfiguration.java",,0.67,,2,2,,,1,,33
File,"ArtifactCoordinatesResolver.java",,7.17,,3,3,,,1,,6
File,"ArtifactsLibraries.java",,0.26,,5,5,,,1,,84
File,"ArtifactsLibrariesTests.java",,0.20,,4,4,,,1,,99
File,"AsciiBytes.java",,0.23,,14,17,,,1,,167
File,"AsciiBytesTests.java",,0.17,,16,16,,,1,,123
File,"AstUtils.java",,0.54,,0,9,,,1,,117
File,"AtomikosConnectionFactoryBean.java",,0.79,,3,3,,,1,,28
File,"AtomikosConnectionFactoryBeanTests.java",,0.65,,3,3,,,2,,31
File,"AtomikosDataSourceBean.java",,0.81,,3,3,,,1,,27
File,"AtomikosDataSourceBeanTests.java",,0.69,,3,3,,,2,,29
File,"AtomikosDependsOnBeanFactoryPostProcessor.java",,0.35,,8,8,,,1,,75
File,"AtomikosDependsOnBeanFactoryPostProcessorTests.java",,0.34,,6,7,,,2,,59
File,"AtomikosJtaConfiguration.java",,0.26,,7,8,,,2,,98
File,"AtomikosLoggingLevel.java",,5.17,,2,2,,,1,,6
File,"AtomikosProperties.java",,1.22,,37,37,,,1,,161
File,"AtomikosPropertiesTests.java",,0.43,,2,2,,,1,,47
File,"AtomikosXAConnectionFactoryWrapper.java",,1.69,,1,1,,,1,,13
File,"AtomikosXAConnectionFactoryWrapperTests.java",,1.18,,1,1,,,1,,17
File,"AtomikosXADataSourceWrapper.java",,1.83,,1,1,,,1,,12
File,"AtomikosXADataSourceWrapperTests.java",,1.18,,1,1,,,1,,17
File,"AuditApplicationEvent.java",,1.93,,5,5,,,1,,28
File,"AuditAutoConfiguration.java",,0.44,,5,5,,,2,,48
File,"AuditAutoConfigurationTests.java",,0.19,,15,15,,,9,,112
File,"AuditEvent.java",,0.97,,8,9,,,1,,66
File,"AuditEventRepository.java",,5.44,,4,4,,,1,,9
File,"AuditEventTests.java",,0.37,,6,6,,,1,,57
File,"AuditEventsJmxEndpoint.java",,0.40,,5,5,,,1,,52
File,"AuditEventsMvcEndpoint.java",,0.65,,2,2,,,1,,34
